[29/Jan/2024:04:38:33 +0000] - 303 303 - POST https jenkins.hanisntsolo.com "/job/gg_webapp/build?delay=0sec" [Client 152.58.30.182] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/build?delay=0sec"
[29/Jan/2024:04:38:35 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/" [Client 152.58.30.182] [Length 31851] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/build?delay=0sec"
[29/Jan/2024:04:38:43 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/" [Client 152.58.16.153] [Length 31867] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "-"
[29/Jan/2024:04:38:45 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503125377" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[29/Jan/2024:04:38:49 +0000] - - 499 - GET https jenkins.hanisntsolo.com "/job/gg_webapp/wfapi/runs?fullStages=true&_=1706503126054" [Client 152.58.30.182] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[29/Jan/2024:04:38:50 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.30.182] [Length 36057] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[29/Jan/2024:04:38:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.30.182] [Length 36063] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[29/Jan/2024:04:38:51 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503131207" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:38:56 +0000] - - 499 - POST https jenkins.hanisntsolo.com "/widget/BuildQueueWidget/ajax" [Client 152.58.30.182] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:38:56 +0000] - - 499 - POST https jenkins.hanisntsolo.com "/widget/ExecutorsWidget/ajax" [Client 152.58.30.182] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
